,country,burn_2002,burn_2004,drowning_2002,drowning_2004,fall_2002,fall_2004,poisoning_2002,poisoning_2004,total_2002,total_2004
175,Turkey,0.9746662,0.636880338,0.959766,0.7045708890000001,1.675977,8.000944138,0.8118776,0.504526794,4.4222868,10.154272964999999
176,Turkmenistan,8.446925,7.8628873829999995,7.036347,10.0855341,2.024848,1.935352325,4.095779,3.638997793,21.603899000000002,23.979552808
177,Tuvalu,8.018548,7.7020030020000005,8.554679,8.763174057,0.15003229999999998,0.116566814,7.263877000000001,7.774079323,23.9871363,23.845620873
178,Uganda,5.111846,6.159128189,7.547772,8.380665779,4.178698000000001,4.589588642,10.2038,11.69975376,27.042116,29.33318261
179,Ukraine,3.8372669999999998,4.702908993,10.13841,8.89242363,5.370097,6.7216701510000005,29.58581,31.03318596,48.931584,49.902812774
180,United Arab Emirates,2.339252,1.4742064480000001,6.0815779999999995,2.9602580069999997,3.7071709999999998,1.791452646,0.3422347,0.162322968,12.4702357,6.568151801
181,United Kingdom,0.6323395,0.577689111,0.40092449999999996,0.347905368,4.474754,3.453276873,1.952334,1.8538086409999999,7.460352,6.331205352
182,Tanzania,4.848667,4.958661079,11.306510000000001,11.59088802,4.008013,4.368362904,9.041296,9.795476913,29.204486000000003,29.959208003
183,United States,1.124378,0.973697603,1.347872,1.1515256170000001,3.064667,3.96007967,4.318336,6.753244400000001,9.855253000000001,10.40363889
184,Uruguay,1.1702219999999999,1.2331317659999999,3.78133,2.164458752,0.6571819999999999,0.9455425740000001,0.8641141,0.560129702,6.4728481,5.207247192
185,Uzbekistan,1.883641,2.180389881,4.301025,5.271134853,1.284248,2.608140707,2.627993,2.061176062,10.096907,12.687658441
